"PWSID","PWSNAME","PRINCIPAL_COUNTY_SERVED","POPULATION SERVED COUNT","ACZip","ACAdd1","ACAdd2","ACCity","ACState","FacNAME","GeocodeRequest/Query","lat","lng"
"IL0010450","LORAINE","ADAMS",313,62349,"507 S. MAIN",,"LORAINE","IL","LORAINE","507 S. MAIN, LORAINE, IL, 62349",40.14805984,-91.22348785
"IL0050300","SORENTO","BOND",645,62086,"P.O. BOX 298",,"SORNETO","IL","SORENTO","SORNETO, IL, 62086",38.98125076,-89.5786438
"IL0110100","BUDA","BUREAU",600,61338,"309 SOUTH 4TH ST.","PO BOX 255","MANLIUS","IL","BUDA","309 SOUTH 4TH ST., PO BOX 255, MANLIUS, IL, 61338",41.45397753,-89.66587521
"IL0110350","DOVER","BUREAU",169,61356,"223 PARK AVENUE EAST",,"PRINCETON","IL","DOVER","223 PARK AVENUE EAST, PRINCETON, IL, 61356",41.368358,-89.461593
"IL0110550","MALDEN","BUREAU",370,61337,"PO BOX 32",,"MALDEN","IL","MALDEN","MALDEN, IL, 61337",41.45520401,-89.33634186
"IL0110850","PRINCETON","BUREAU",7701,61356,"2 SOUTH MAIN STREET",,"PRINCETON","IL","PRINCETON","2 SOUTH MAIN STREET, PRINCETON, IL, 61356",41.37519233,-89.46510851
"IL0111150","WYANET","BUREAU",1100,61379,"116 NORTH LOCUST STREET","P.O. BOX 373","WYANET","IL","WYANET","116 NORTH LOCUST STREET, P.O. BOX 373, WYANET, IL, 61379",41.3656155,-89.58372451
"IL0130200","HARDIN","CALHOUN",1000,62047,"101 MAIN STREET","P.O. BOX 382","HARDIN","IL","HARDIN","101 MAIN STREET, P.O. BOX 382, HARDIN, IL, 62047",39.15665746,-90.61676122
"IL0150020","CENTURY PINES APARTMENTS","CARROLL",50,60120,"536 N LIBERTY ST.",,"ELGIN","IL","CENTURY PINES APARTMENTS","536 N LIBERTY ST., ELGIN, IL, 60120",42.04733276,-88.26808167
"IL0150050","CHADWICK","CARROLL",505,61014,"225 Main St.",,"CHADWICK","IL","CHADWICK","225 Main St., CHADWICK, IL, 61014",42.01372571,-89.8908066
"IL0150250","SAVANNA","CARROLL",3062,61074,"CITY OF SAVANNA","333 CHICAGO AVE","SAVANNA","IL","SAVANNA","333 CHICAGO AVE, SAVANNA, IL, 61074",42.09107526,-90.15073143
"IL0190700","ROYAL","CHAMPAIGN",310,61871,"VILLAGE HALL","101 WEST MAIN ST","ROYAL","IL","ROYAL","101 WEST MAIN ST, ROYAL, IL, 61871",40.19263521,-87.97286958
